cell_line,sample,bases_all,bases_deduped,bases_deduped_mapped,coverage_all,coverage_deduped,coverage_deduped_mapped,pileup_covered,assay_type,prop_pileup_cov,eff_cov
HG00096,HG00096-0-0-1-0,2287104286,2144581577,2113404909,0.693062,0.649873,0.640426,26484435,ilmn_0.5x,0.3128861430822883,0.37525526989811847
HG00096,HG00096-0-1-1-0,2322480566,2119265370,2106079748,0.703782,0.642202,0.638206,26768748,ilmn_0.5x,0.31624500642969045,0.380155622061924
HG00101,HG00101-0-0-1-0,2650830368,2481927204,2460618235,0.803282,0.752099,0.745642,35011142,ilmn_0.5x,0.4136203466408218,0.5337878265574089
HG00101,HG00101-0-1-1-0,4814735264,4362939338,4346604158,1.45901,1.3221,1.31715,51520943,ilmn_0.5x,0.6086665297270801,0.9381952173314658
HG00101,HG00101-0-2-1-0,2853607362,2586347177,2574220820,0.86473,0.783742,0.780067,33675542,ilmn_0.5x,0.3978416172588016,0.5072347740220579
HG00101,HG00101-1-0-1-0,4979414052,4494825154,4477408663,1.50891,1.36207,1.35679,44818918,ilmn_1x,0.5294890523487228,0.7539360521056644
HG00101,HG00101-1-1-1-0,4537037204,4158457101,4139090294,1.37486,1.26014,1.25427,42978656,ilmn_1x,0.5077482646203496,0.7087650360660683
HG00101,HG00101-1-2-1-0,5269248284,4779102737,4768268336,1.59674,1.44821,1.44493,54369676,ilmn_1x,0.6423213568374654,1.028120340503177
HG00102,HG00102-0-0-1-0,2916354808,2736722490,2714345800,0.883744,0.82931,0.822529,33324678,ilmn_0.5x,0.39369652283989387,0.5003746308720666
HG00102,HG00102-0-1-1-0,4492775178,4094220493,4079083649,1.36145,1.24067,1.23609,49675523,ilmn_0.5x,0.5868648055760111,0.8839803923139525
HG00102,HG00102-0-2-1-0,2925523528,2663141096,2651386350,0.886522,0.807012,0.80345,35915789,ilmn_0.5x,0.42430781309728816,0.5521821588659563
HG00102,HG00102-1-0-1-0,4451990380,4022465595,3993236374,1.34909,1.21893,1.21007,41303256,ilmn_1x,0.4879551505093608,0.669343061117588
HG00102,HG00102-1-1-1-0,4315898610,3956320649,3944843290,1.30785,1.19889,1.19541,41695072,ilmn_1x,0.49258405035328534,0.6784241982417905
HG00102,HG00102-1-2-1-0,4526888192,4119197705,4106645528,1.37178,1.24824,1.24444,46847971,ilmn_1x,0.55346021002226,0.8062267673444241
HG00105,HG00105-0-0-1-0,4707066828,4400244190,4372673402,1.42638,1.33341,1.32505,50901457,ilmn_0.5x,0.6013479448588934,0.9196662847951798
HG00105,HG00105-0-1-1-0,6120427130,5560798329,5528266134,1.85467,1.68509,1.67523,57063708,ilmn_0.5x,0.6741485520115464,1.1213136824865884
HG00105,HG00105-0-2-1-0,3294986100,2989051644,2976677496,0.998481,0.905773,0.902023,39733803,ilmn_0.5x,0.4694136903680013,0.6337726392849462
HG00105,HG00105-1-0-1-0,5830811546,5212620868,5180453489,1.76691,1.57958,1.56983,48939432,ilmn_1x,0.5781686535173554,0.8631496977133519
HG00105,HG00105-1-1-1-0,5379713240,4893180066,4877510041,1.63022,1.48278,1.47803,46022014,ilmn_1x,0.5437023843377846,0.7846100164356181
HG00105,HG00105-1-2-1-0,5729470614,5150599581,5134726008,1.7362,1.56079,1.55598,55453463,ilmn_1x,0.6551251766792979,1.064573758744341
HG00107,HG00107-0-0-1-0,2615922490,2436584320,2405947477,0.792704,0.738359,0.729075,28333893,ilmn_0.5x,0.33473557201715826,0.4075706812981281
HG00107,HG00107-0-1-1-0,2272662344,2051442965,2042067526,0.688686,0.621649,0.618808,26792705,ilmn_0.5x,0.3165280335484424,0.3805696383607106
HG00107,HG00107-0-2-1-0,2427871318,2190723100,2180917462,0.735719,0.663855,0.660884,28454736,ilmn_0.5x,0.33616320678408806,0.4097189530673695
HG00107,HG00107-1-0-1-0,3646723688,3295837589,3275399588,1.10507,0.998739,0.992545,36262652,ilmn_1x,0.4284056398490369,0.5593256997508835
HG00107,HG00107-1-1-1-0,3427891770,3152209409,3125696376,1.03876,0.955215,0.947181,32071873,ilmn_1x,0.37889593054920667,0.47625662743255864
HG00107,HG00107-1-2-1-0,3584221164,3266778243,3248606148,1.08613,0.989933,0.984426,37567021,ilmn_1x,0.44381540734326896,0.5866550386505807
HG00108,HG00108-0-0-1-0,2329081078,2161271607,2143024465,0.705782,0.654931,0.649401,29382755,ilmn_0.5x,0.3471267891907765,0.42637233270927094
HG00108,HG00108-0-1-1-0,2227041318,2008529822,2000931200,0.674861,0.608645,0.606343,26845096,ilmn_0.5x,0.3171469788996354,0.38147563861565686
HG00108,HG00108-0-2-1-0,2256077108,2027968656,2011907088,0.68366,0.614536,0.609669,26331681,ilmn_0.5x,0.31108151293252706,0.3726323211102023
HG00108,HG00108-1-0-1-0,4840780952,4393694716,4378080712,1.4669,1.33142,1.32669,44443141,ilmn_1x,0.5250496366621494,0.744544978643921
HG00108,HG00108-1-1-1-0,3789051456,3499473773,3483895405,1.1482,1.06045,1.05573,35880929,ilmn_1x,0.42389597833668824,0.5514670414257566
HG00108,HG00108-1-2-1-0,3770927228,3447286512,3437589443,1.14271,1.04463,1.04169,42999211,ilmn_1x,0.5079911006359586,0.7092584745151219
HG00110,HG00110-0-0-1-0,2055512566,1916589093,1877486586,0.622883,0.580785,0.568935,25047728,ilmn_0.5x,0.2959129393130055,0.3508532647215013
HG00110,HG00110-0-1-1-0,1809001442,1635265070,1624789747,0.548182,0.495535,0.492361,23044426,ilmn_0.5x,0.2722460030083785,0.31779220411230225
HG00110,HG00110-0-2-1-0,2178759974,1963488485,1953735848,0.66023,0.594997,0.592041,28262063,ilmn_0.5x,0.33388697503339776,0.40629591568331797
HG00110,HG00110-1-0-1-0,3875405940,3497380762,3470590040,1.17437,1.05981,1.05169,37039655,ilmn_1x,0.43758512477417755,0.5755154892874166
HG00110,HG00110-1-1-1-0,3893796532,3569069371,3552834304,1.17994,1.08154,1.07662,37750783,ilmn_1x,0.4459863648670027,0.5905659803843026
HG00110,HG00110-1-2-1-0,4280933050,3884819582,3872527427,1.29725,1.17722,1.17349,46965664,ilmn_1x,0.5548506308047982,0.8093453920246723
HG00111,HG00111-0-0-1-0,2446587466,2277059917,2265132427,0.74139,0.690018,0.686404,29489099,ilmn_0.5x,0.34838313330383547,0.42829851754296594
HG00111,HG00111-0-1-1-0,3702604258,3346137803,3327153328,1.122,1.01398,1.00823,39116991,ilmn_0.5x,0.46212669603767587,0.6201322410473563
HG00111,HG00111-0-2-1-0,2279491772,2054650356,2045853700,0.690755,0.622621,0.619956,28309600,ilmn_0.5x,0.33444857540673795,0.4071393720162106
HG00111,HG00111-1-0-1-0,4915943920,4424080597,4396885950,1.48968,1.34063,1.33239,45908581,ilmn_1x,0.5423622910388998,0.7816774363652721
HG00111,HG00111-1-1-1-0,5247327312,4806226112,4783367883,1.5901,1.45643,1.44951,48888881,ilmn_1x,0.5775714458586323,0.861734949108351
HG00111,HG00111-1-2-1-0,4666608794,4233482206,4218086397,1.41412,1.28287,1.27821,49695271,ilmn_1x,0.5870981077232379,0.8845452632070069
HG00116,HG00116-0-0-1-0,2907204510,2705294105,2677141665,0.880971,0.819786,0.811255,37641376,ilmn_0.5x,0.4446938345843592,0.5882356679407448
HG00116,HG00116-0-1-1-0,2447538766,2209742607,2197598583,0.741678,0.669619,0.665939,33089958,ilmn_0.5x,0.39092354937437446,0.49581148446201945
HG00116,HG00116-0-2-1-0,3010869030,2714051501,2696232595,0.912385,0.82244,0.81704,37944539,ilmn_0.5x,0.44827539113994574,0.5947062541882088
HG00116,HG00116-1-0-1-0,5280947160,4787092449,4767177663,1.60029,1.45063,1.4446,49146797,ilmn_1x,0.5806184560168332,0.8689741672451964
HG00116,HG00116-1-1-1-0,4676740592,4319043336,4293972051,1.41719,1.3088,1.3012,44162324,ilmn_1x,0.5217320749304403,0.7375841908214247
HG00116,HG00116-1-2-1-0,5022979968,4589731372,4571639911,1.52212,1.39083,1.38535,54107089,ilmn_1x,0.6392191636566953,1.0194846065521104
HG00119,HG00119-0-0-1-0,2040716076,1894625992,1874133480,0.618399,0.574129,0.567919,26258963,ilmn_0.5x,0.31022242514935716,0.37138608864738987
HG00119,HG00119-0-1-1-0,2412422810,2172288265,2161495691,0.731037,0.658269,0.654999,30134766,ilmn_0.5x,0.35601101954515085,0.44007366411913473
HG00119,HG00119-0-2-1-0,2418428080,2170946932,2158819669,0.732857,0.657863,0.654188,29455255,ilmn_0.5x,0.3479833015299472,0.4276851062330562
HG00119,HG00119-1-0-1-0,4716140418,4276208713,4255925638,1.42913,1.29582,1.28967,43702761,ilmn_1x,0.5163028145149047,0.7262962178902125
HG00119,HG00119-1-1-1-0,4041223268,3722013647,3702227211,1.22461,1.12788,1.12189,41557590,ilmn_1x,0.490959843051025,0.6752283717341862
HG00119,HG00119-1-2-1-0,4344569886,3963164422,3951272719,1.31654,1.20096,1.19736,46424385,ilmn_1x,0.5484559805643292,0.7950824148959691
HG00131,HG00131-0-0-1-0,2617549968,2439836407,2418820227,0.793197,0.739344,0.732976,33962446,ilmn_0.5x,0.40123109058511125,0.5128795492694526
HG00131,HG00131-0-1-1-0,3394817032,3072623802,3057825953,1.02873,0.931098,0.926614,38403999,ilmn_0.5x,0.45370343471726154,0.6045932908366595
HG00131,HG00131-0-2-1-0,2491625330,2249437638,2230860259,0.755038,0.681648,0.676018,32108672,ilmn_0.5x,0.3793306725846432,0.4769568229018699
